trial_type,vertex,chromo,spatial_act
Stim C3,225,HbR,-1.642801168914959e-18
Stim C3,226,HbO,4.184923542447015e-18
Stim C3,226,HbR,-1.673969416978806e-18
Stim C3,227,HbO,1.5497065117719458e-18
Stim C3,227,HbR,-6.198826047087783e-19
Stim C3,228,HbO,7.416662949524733e-23
Stim C3,228,HbR,-2.9666651798098933e-23
Stim C3,229,HbO,1.2380386639581866e-23
Stim C3,229,HbR,-4.952154655832746e-24
Stim C3,230,HbO,9.870360599685788e-24
Stim C3,230,HbR,-3.948144239874315e-24
Stim C3,231,HbO,6.671034472158725e-23
Stim C3,231,HbR,-2.668413788863491e-23
Stim C3,232,HbO,2.2624642353287602e-11
Stim C3,232,HbR,-9.049856941315043e-12
Stim C3,233,HbO,7.080453223257724e-12
Stim C3,233,HbR,-2.832181289303089e-12
Stim C3,234,HbO,5.963712264728199e-11
Stim C3,234,HbR,-2.3854849058912793e-11
Stim C3,235,HbO,6.225182733498683e-12
Stim C3,235,HbR,-2.4900730933994734e-12
Stim C3,236,HbO,9.06167491027495e-11
Stim C3,236,HbR,-3.6246699641099805e-11
Stim C3,237,HbO,1.0408865722292991e-11
Stim C3,237,HbR,-4.163546288917197e-12
Stim C3,238,HbO,9.663030689383523e-11
Stim C3,238,HbR,-3.86521227575341e-11
Stim C3,239,HbO,1.7429455270219507e-12
Stim C3,239,HbR,-6.971782108087802e-13
Stim C3,240,HbO,9.250168571692889e-11
Stim C3,240,HbR,-3.700067428677155e-11
Stim C3,241,HbO,2.3774416981596304e-12
Stim C3,241,HbR,-9.50976679263852e-13
Stim C3,242,HbO,4.5783516470851136e-12
Stim C3,242,HbR,-1.8313406588340455e-12
Stim C3,243,HbO,5.704612020154335e-12
Stim C3,243,HbR,-2.2818448080617344e-12
Stim C3,244,HbO,3.623356932546e-16
Stim C3,244,HbR,-1.4493427730184003e-16
Stim C3,245,HbO,1.363231866255575e-11
Stim C3,245,HbR,-5.452927465022301e-12
Stim C3,246,HbO,7.601539370487987e-14
Stim C3,246,HbR,-3.0406157481951955e-14
Stim C3,247,HbO,2.3075932401863328e-20
Stim C3,247,HbR,-9.230372960745332e-21
Stim C3,248,HbO,1.542658956208793e-14
Stim C3,248,HbR,-6.170635824835171e-15
Stim C3,249,HbO,3.095372854113699e-20
Stim C3,249,HbR,-1.2381491416454798e-20
Stim C3,250,HbO,5.402660879495065e-16
Stim C3,250,HbR,-2.1610643517980263e-16
Stim C3,251,HbO,3.690405091974695e-16
Stim C3,251,HbR,-1.4761620367898777e-16
Stim C3,252,HbO,6.66209716023402e-16
Stim C3,252,HbR,-2.664838864093608e-16
Stim C3,253,HbO,6.27770708030677e-17
Stim C3,253,HbR,-2.5110828321227078e-17
Stim C3,254,HbO,3.44858731157967e-17
Stim C3,254,HbR,-1.3794349246318684e-17
Stim C3,255,HbO,1.7363652827816023e-17
Stim C3,255,HbR,-6.945461131126408e-18
Stim C3,256,HbO,9.449316183578354e-18
Stim C3,256,HbR,-3.779726473431342e-18
Stim C3,257,HbO,1.0052193555220568e-19
Stim C3,257,HbR,-4.020877422088227e-20
Stim C3,258,HbO,1.586190581096075e-23
Stim C3,258,HbR,-6.344762324384301e-24
Stim C3,259,HbO,4.991545780078726e-21
Stim C3,259,HbR,-1.99661831203149e-21
Stim C3,260,HbO,2.3233160721430485e-24
Stim C3,260,HbR,-9.293264288572194e-25
Stim C3,261,HbO,2.667429584787327e-22
Stim C3,261,HbR,-1.0669718339149304e-22
Stim C3,262,HbO,4.029688205097444e-11
Stim C3,262,HbR,-1.6118752820389778e-11
Stim C3,263,HbO,7.361264394002326e-11
Stim C3,263,HbR,-2.9445057576009296e-11
Stim C3,264,HbO,8.65261016262811e-12
Stim C3,264,HbR,-3.4610440650512446e-12
Stim C3,265,HbO,4.2158219198723094e-12
Stim C3,265,HbR,-1.6863287679489237e-12
Stim C3,266,HbO,3.5225847264996883e-10
Stim C3,266,HbR,-1.4090338905998754e-10
Stim C3,267,HbO,1.4439373210186974e-12
Stim C3,267,HbR,-5.77574928407479e-13
Stim C3,268,HbO,8.166696167843326e-14
Stim C3,268,HbR,-3.2666784671373313e-14
Stim C3,269,HbO,1.246690092348065e-10
Stim C3,269,HbR,-4.98676036939226e-11
Stim C3,270,HbO,1.9887356134480457e-12
Stim C3,270,HbR,-7.954942453792183e-13
Stim C3,271,HbO,2.3732246520738777e-15
Stim C3,271,HbR,-9.492898608295513e-16
Stim C3,272,HbO,1.0552132434776704e-11
Stim C3,272,HbR,-4.220852973910682e-12
Stim C3,273,HbO,1.622901737119372e-11
Stim C3,273,HbR,-6.491606948477487e-12
Stim C3,274,HbO,7.569651976593366e-12
Stim C3,274,HbR,-3.0278607906373467e-12
Stim C3,275,HbO,3.2076453730357317e-12
Stim C3,275,HbR,-1.2830581492142929e-12
Stim C3,276,HbO,5.999948689405769e-14
Stim C3,276,HbR,-2.399979475762307e-14
Stim C3,277,HbO,2.2438886250551752e-13
Stim C3,277,HbR,-8.975554500220701e-14
Stim C3,278,HbO,7.850901506515825e-13
Stim C3,278,HbR,-3.14036060260633e-13
Stim C3,279,HbO,1.0144119633165183e-20
Stim C3,279,HbR,-4.057647853266073e-21
Stim C3,280,HbO,7.872313432103664e-15
Stim C3,280,HbR,-3.148925372841466e-15
Stim C3,281,HbO,6.032176625821384e-18
Stim C3,281,HbR,-2.4128706503285537e-18
Stim C3,282,HbO,1.1487067943693122e-17
Stim C3,282,HbR,-4.594827177477249e-18
Stim C3,283,HbO,1.6937647574505589e-18
Stim C3,283,HbR,-6.775059029802237e-19
Stim C3,284,HbO,6.928911013133519e-19
Stim C3,284,HbR,-2.7715644052534074e-19
Stim C3,285,HbO,7.579637873617941e-23
Stim C3,285,HbR,-3.0318551494471764e-23
Stim C3,286,HbO,8.390740261824083e-24
Stim C3,286,HbR,-3.356296104729633e-24
Stim C3,287,HbO,3.920743462749165e-24
Stim C3,287,HbR,-1.5682973850996665e-24
Stim C3,288,HbO,2.0676036197029992e-23
Stim C3,288,HbR,-8.270414478811997e-24
Stim C3,289,HbO,1.5455277850809495e-21
Stim C3,289,HbR,-6.1821111403238e-22
